localminute,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,Power_consumption,Big Delta,rrh_0,rrh_1,rrh_2,rrh_3,rrh_4,rrh_5,rrh_6,rrh_7,rrh_8,rrh_9,rrh_10,rrh_11,rrh_12,rrh_13,rrh_14,rrh_15,rrh_16,rrh_17,rrh_18,rrh_19,rrh_20,rrh_21,rrh_22
2-Jan-03,0.42715,0.8899,0.7238,0.723716667,0.3876,0.199733333,0.37915,1.474433333,1.10505,1.485183333,0.208183333,0.83485,0.791816667,0.327933333,0.529266667,0.3224,0.605366667,0.2745,0.238016667,0.1628,0.57505,1.860666667,0.951466667,15.47803333,10.52506267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-04,0.314333333,0.85955,0.6116,0.8976,0.437716667,0.162233333,0.387816667,3.022383333,1.042533333,1.54125,0.713116667,0.6824,0.767733333,0.325683333,0.696033333,0.3114,0.475983333,0.33265,0.224883333,0.1733,0.577566667,1.0513,0.537366667,16.14643333,10.97957467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-05,0.264066667,1.0852,0.667366667,1.035533333,0.69145,0.230966667,0.3654,2.256983333,1.131,1.021483333,2.196866667,0.416566667,0.7193,0.284583333,0.521,0.34,1.831916667,1.1731,0.488933333,0.1824,0.839833333,0.41195,0.801233333,18.95713333,12.89085067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-06,0.2718,1.042166667,0.6021,0.88465,0.67895,0.430516667,1.3954,2.351633333,1.255916667,0.717716667,0.4312,0.5179,0.74095,0.2358,0.517416667,0.34115,4.98235,0.291283333,1.430916667,0.80195,0.9981,0.554516667,0.458933333,21.93331667,14.91465533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-07,0.528916667,0.317233333,1.350966667,1.17465,0.92545,0.333333333,0.766816667,1.485,1.236716667,0.613966667,0.874433333,0.60835,0.75545,0.413816667,0.23745,0.538983333,2.344883333,0.298233333,0.356566667,0.188633333,1.490466667,0.230966667,-0.210916667,17.07128333,11.60847267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-08,0.273183333,0.876783333,1.0149,1.909183333,0.929716667,0.43555,0.4346,1.805616667,1.022366667,0.253783333,0.9688,0.104633333,0.760716667,0.169333333,0.0921,0.185433333,0.435283333,0.51705,0.330416667,0.279033333,0.029933333,0.169783333,-0.476433333,12.9982,8.838776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-09,0.253516667,0.064,0.709133333,1.39645,0.683266667,0.27595,0.429383333,0.234166667,1.10345,0.087133333,0.27805,-0.108883333,0.773433333,0.0733,0.0669,0.106633333,0.635866667,0.352933333,0.313516667,0.417766667,-0.150383333,0.249233333,-0.978983333,8.504083333,5.782776667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-10,0.404566667,-0.469033333,1.4872,1.055033333,0.35705,0.2051,0.7681,-0.8095,1.257866667,-0.553016667,0.0028,-0.544833333,0.729683333,-0.441833333,0.067816667,-0.273,0.5598,0.456266667,0.22335,0.2475,-0.959083333,0.165766667,-2.531733333,7.9879,5.431772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-11,0.31805,-0.743866667,1.16695,2.062716667,0.397816667,0.16035,0.458116667,-1.550616667,2.761916667,-0.817116667,0.161766667,-0.393883333,0.73475,-0.444383333,0.068266667,-0.349216667,-0.476516667,0.259866667,0.227466667,0.344333333,-1.492933333,0.456083333,-3.277816667,9.57845,6.513346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-12,0.246166667,-2.53465,0.989966667,1.470083333,-0.685633333,0.19525,0.411366667,-3.423633333,2.858083333,-1.70935,-1.218966667,-1.154466667,0.774616667,-1.30225,0.079283333,-0.894733333,-1.803883333,0.382183333,0.230016667,0.622483333,-3.799883333,0.627083333,-5.51035,8.886583333,6.042876667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
