localminute,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,Power_consumption,Big Delta,rrh_0,rrh_1,rrh_2,rrh_3,rrh_4,rrh_5,rrh_6,rrh_7,rrh_8,rrh_9,rrh_10,rrh_11,rrh_12,rrh_13,rrh_14,rrh_15,rrh_16,rrh_17,rrh_18,rrh_19,rrh_20,rrh_21,rrh_22
2-Jan-01,0.611616667,0.2628,0.088383333,0.190433333,0.302533333,0.248816667,1.924266667,0.411333333,0.456933333,0.294816667,0.452833333,0.307383333,0.14465,0.201833333,0.559166667,0.319866667,0.159033333,0.5073,0.370216667,0.434966667,0.284566667,0.583466667,0.493933333,9.61115,6.535582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-02,0.606883333,0.3311,0.088166667,0.1033,0.3165,0.223783333,1.957766667,0.420433333,0.781583333,0.12365,0.2521,0.300766667,0.13895,0.113716667,0.393416667,0.284466667,0.144066667,1.221433333,0.4391,0.4038,0.236433333,0.312533333,0.269516667,9.463466667,6.435157333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-03,0.60525,0.3002,0.17195,0.115666667,0.427116667,0.203466667,1.876083333,0.6772,0.579833333,0.15245,0.237916667,0.2485,0.1366,0.07395,0.339983333,0.278133333,0.171783333,0.479183333,0.423433333,0.349566667,0.19135,0.277083333,0.209916667,8.526616667,5.798099333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-04,0.606233333,0.277383333,0.0967,0.115616667,0.329116667,0.191066667,1.215266667,0.495383333,0.627383333,0.1151,0.236016667,0.290883333,0.135483333,0.073683333,0.350633333,0.587066667,0.14355,0.229266667,0.349516667,0.4206,0.179683333,0.29715,0.213183333,7.575966667,5.151657333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-05,0.603866667,0.6485,0.088283333,0.115616667,0.318333333,0.22095,0.289383333,0.282883333,0.608833333,0.147616667,0.2518,0.294133333,0.134683333,0.08635,0.42165,0.282666667,0.1534,0.2236,0.406383333,0.443816667,0.180016667,0.348916667,0.2094,6.761083333,4.597536667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-06,0.605916667,0.582583333,0.088066667,0.092933333,0.338283333,0.177033333,0.400616667,0.33785,0.539983333,0.15195,0.252366667,0.25165,0.133,0.107316667,0.531466667,0.286166667,0.187966667,0.203533333,0.372666667,0.39235,0.180683333,0.35765,0.2056,6.777633333,4.608790667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-07,0.629583333,0.348416667,0.16545,0.208183333,0.309366667,0.196683333,0.40405,0.360066667,0.648733333,0.109983333,0.250116667,0.258,0.132833333,0.073133333,0.458833333,0.48415,0.386633333,0.23915,0.416483333,0.35535,0.376316667,0.378016667,0.331466667,7.521,5.11428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-08,0.996233333,0.570166667,0.10715,0.158483333,0.492083333,0.197016667,0.463433333,0.341383333,1.2571,0.313233333,0.241816667,0.278566667,0.254916667,0.073083333,0.393933333,0.963133333,0.339733333,0.190683333,0.449783333,0.45575,0.29645,0.4621,0.432433333,9.728666667,6.615493333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-09,1.522883333,0.824416667,0.202583333,0.258233333,0.678833333,0.202166667,0.42645,0.33125,1.7361,0.3025,0.326766667,0.613866667,0.653933333,0.3234,0.487,0.7896,0.328216667,0.2397,0.3118,0.746266667,0.321783333,0.39355,0.308233333,12.32953333,8.384082667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-10,1.232783333,0.380016667,0.196083333,0.1818,0.628633333,0.500966667,0.242416667,0.349283333,1.0175,0.145216667,0.222933333,1.137866667,0.295766667,0.439216667,1.061033333,0.464083333,0.382633333,0.171166667,0.261816667,0.63885,0.527333333,0.357916667,0.306183333,11.1415,7.57622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-11,1.168033333,0.307,0.08815,0.088033333,0.705133333,0.29245,0.314133333,0.394366667,0.973183333,0.1479,0.384333333,0.364916667,0.161333333,0.168,0.960033333,0.878266667,0.373,0.2524,0.193333333,0.533333333,0.608533333,-0.2886,0.2082,9.564066667,6.503565333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-12,1.102016667,0.273116667,0.08815,0.112866667,0.535283333,0.251883333,0.664166667,0.34225,0.702966667,0.111666667,0.654683333,0.263633333,0.14105,0.14865,1.069233333,0.9477,0.719533333,0.372516667,0.171766667,0.705066667,0.382616667,-0.664966667,0.213633333,9.97445,6.782626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-13,0.981916667,0.213866667,0.174016667,0.1293,0.3191,0.206666667,0.961533333,0.332183333,0.424433333,0.153083333,0.44905,0.258733333,0.158133333,0.349616667,0.577666667,0.490616667,0.6582,0.206683333,0.215283333,0.5872,0.31965,-0.8607,0.207666667,8.3746,5.694728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-14,0.98305,0.163216667,0.088666667,0.237916667,0.3045,0.465966667,1.47,0.509033333,0.401483333,0.123266667,0.2261,0.25715,0.2787,0.247416667,0.301133333,0.538266667,0.485583333,0.336516667,0.166966667,0.80845,0.33125,-0.78985,0.2034,8.928033333,6.071062667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-15,0.930816667,0.268783333,0.08825,0.389683333,0.304666667,0.6331,0.740166667,1.218783333,0.359183333,0.14055,0.2343,0.2567,0.274283333,0.266933333,0.258516667,0.462133333,0.448183333,0.247433333,0.199,0.613766667,0.24395,-0.842933333,0.202883333,8.782066667,5.971805333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-16,0.93265,0.21155,0.177483333,0.137616667,0.398983333,0.893566667,0.334483333,1.265816667,0.461983333,0.157883333,0.246333333,0.260983333,0.275666667,0.2867,0.320583333,0.469966667,0.685583333,0.330933333,0.238533333,0.800533333,0.220833333,-0.581833333,0.21105,9.319716667,6.337407333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-17,1.143866667,0.17745,0.088933333,0.170433333,0.506816667,0.8947,0.598733333,1.3504,0.564483333,0.11235,0.568266667,0.230716667,0.391466667,0.28945,0.379766667,0.595666667,0.274283333,0.313016667,0.32595,0.827683333,0.194033333,-0.222533333,0.2094,10.20786667,6.941349333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-18,1.460016667,0.423883333,0.088283333,0.1534,0.496083333,0.4597,0.631383333,1.4737,0.795233333,0.204016667,0.210766667,0.305016667,0.148933333,0.173216667,0.480483333,1.055483333,0.160766667,0.17885,0.383766667,1.0182,0.38955,0.208866667,0.2041,11.1037,7.550516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-19,1.131683333,0.903583333,0.18255,0.153383333,1.824683333,0.609916667,0.563266667,0.820083333,1.224416667,0.453766667,0.222116667,0.470466667,0.491266667,0.29765,1.0494,1.084416667,0.177383333,0.148316667,0.5147,0.930866667,1.239883333,0.766416667,0.44245,15.70266667,10.67781333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-20,1.0543,0.9848,0.38205,0.20845,0.700466667,0.66585,0.893533333,0.806316667,1.110233333,0.691116667,0.641433333,2.3568,0.424216667,0.597483333,0.8107,1.434266667,0.177266667,0.186683333,0.288283333,0.9101,0.808616667,0.623066667,0.490416667,17.24645,11.727586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-21,0.9447,0.863516667,0.424833333,0.403,0.596066667,0.459183333,1.18555,0.89295,1.070633333,0.715516667,0.224183333,1.006716667,0.409433333,0.705166667,1.040916667,1.744266667,0.141583333,0.1369,0.320783333,0.73315,0.758283333,0.550383333,0.427433333,15.75515,10.713502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-22,0.635166667,0.898183333,0.5553,0.33015,0.574183333,0.356383333,2.094433333,0.5727,1.118783333,0.2566,0.477583333,1.054866667,0.469583333,0.43475,1.00815,1.152016667,0.173633333,0.373566667,0.263666667,0.621616667,0.5889,0.622866667,0.336183333,14.96926667,10.17910133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-23,0.90775,0.446066667,0.219533333,0.1536,0.487316667,0.494783333,2.08995,0.688916667,0.9961,0.19345,0.880116667,0.723316667,0.420416667,0.4037,0.921466667,0.588783333,0.6622,0.569266667,0.389133333,0.377933333,0.88345,0.443416667,0.516733333,14.4574,9.831032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-00,0.7301,0.283516667,0.132783333,0.153333333,0.362133333,0.261933333,2.197183333,0.56965,1.0567,0.6964,0.673933333,0.311516667,0.4192,0.305016667,0.525,0.4112,0.203216667,1.180333333,0.525083333,0.399433333,0.635133333,0.502466667,0.7879,13.32316667,9.059753333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
